City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
78,Nacala,MZ,75.09,overcast clouds,-14.5428,40.6728,Indico Apart Hotel 2
79,Cidreira,BR,74.26,overcast clouds,-30.1811,-50.2056,Hotel Castelo
80,Kapit,MY,72.28,overcast clouds,2.0167,112.9333,Haip
81,Mayumba,GA,77.05,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
82,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Billy's Place
83,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Blossom's on Seaspray
84,Christchurch,NZ,73.42,few clouds,-43.5333,172.6333,Ibis Hotel Christchurch
85,Pontianak,ID,73.38,broken clouds,-0.0333,109.3333,Golden Tulip Hotel
86,Grand Gaube,MU,78.39,light rain,-20.0064,57.6608,Coco Villa
87,Houma,US,73.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
88,Richards Bay,ZA,78.04,scattered clouds,-28.783,32.0377,Protea Hotel
89,Punto Fijo,VE,78.46,clear sky,11.6956,-70.1996,Hotel Caribe
90,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
91,Lucea,JM,78.66,few clouds,18.451,-78.1736,Blue Paloma Bed And Breakfast
92,Kisangani,CD,74.21,broken clouds,0.5167,25.2,Le Chalet
93,Santa Cruz Cabralia,BR,79.03,few clouds,-16.2781,-39.0247,Campo Bahia Resort
