City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
93,Joensuu,FI,62.6012,29.7632,32.49,100,100,5.75,light snow
94,Monrovia,LR,6.3005,-10.7969,74.97,89,99,8.14,overcast clouds
95,Dolores,AR,-36.3132,-57.6792,72.73,71,100,14.94,overcast clouds
96,Talhar,PK,24.8833,68.8167,57.63,19,79,9.89,broken clouds
97,Nisia Floresta,BR,-6.0911,-35.2086,74.21,86,70,7.76,broken clouds
98,Comodoro Rivadavia,AR,-45.8667,-67.5,73.63,61,4,4.7,clear sky
99,Khangarh,PK,29.9173,71.1618,50.07,39,59,7.74,broken clouds
100,Meulaboh,ID,4.1363,96.1285,72.27,83,90,3.53,overcast clouds
101,Tuatapere,NZ,-46.1333,167.6833,71.58,48,36,0.98,scattered clouds
102,Maragogi,BR,-9.0122,-35.2225,77.14,84,24,9.1,few clouds
103,Upernavik,GL,72.7868,-56.1549,-17.25,75,100,5.01,overcast clouds
104,Talavera,PH,15.6167,120.9333,72.12,85,27,4.34,scattered clouds
105,Port Elizabeth,ZA,-33.918,25.5701,79.11,85,100,4.72,overcast clouds
106,Yumen,CN,40.2833,97.2,7.86,70,46,16.02,scattered clouds
107,Port Hawkesbury,CA,45.6169,-61.3485,41.04,93,100,4.61,overcast clouds
108,Itoman,JP,26.1247,127.6694,60.82,66,40,11.5,scattered clouds
109,Kemin,KG,42.7846,75.6892,20.88,63,0,8.61,clear sky
110,Vaini,TO,-21.2,-175.2,86.16,74,75,8.05,broken clouds
111,Ngunguru,NZ,-35.6167,174.5,72.61,61,6,3.56,clear sky
112,Santa Cruz,BO,-17.8,-63.1667,87.85,58,75,5.75,broken clouds
113,Inuvik,CA,68.3499,-133.7218,3.96,85,100,2.3,light snow
114,Bundaberg,AU,-24.85,152.35,82.22,65,22,3.0,few clouds
115,Kralendijk,BQ,12.15,-68.2667,76.98,88,20,8.05,few clouds
116,Durban,ZA,-29.8579,31.0292,79.92,93,53,4.0,broken clouds
117,Tual,ID,-5.6667,132.75,83.3,74,99,16.31,overcast clouds
118,Hamilton,US,39.1834,-84.5333,45.07,85,100,12.66,overcast clouds
119,Bengkulu,ID,-3.8004,102.2655,74.25,90,84,3.91,broken clouds
120,Castro,BR,-24.7911,-50.0119,62.35,93,92,3.94,moderate rain
121,Port Hardy,CA,50.6996,-127.4199,39.38,93,75,8.05,light rain
122,Yanam,IN,16.7333,82.2167,64.06,95,44,2.59,scattered clouds
123,Henties Bay,NA,-22.116,14.2845,66.74,83,49,9.26,scattered clouds
124,Atar,MR,20.5169,-13.0499,66.27,35,0,8.72,clear sky
125,Qaanaaq,GL,77.484,-69.3632,-19.82,95,100,4.5,overcast clouds
126,Kodiak,US,57.79,-152.4072,27.91,80,75,3.44,broken clouds
127,Singkang,MY,2.1006,102.7994,70.39,96,84,3.69,broken clouds
128,Kapaa,US,22.0752,-159.319,80.92,70,20,8.05,few clouds
129,Huarmey,PE,-10.0681,-78.1522,72.5,74,79,9.84,broken clouds
130,Sambava,MG,-14.2667,50.1667,76.55,93,100,35.75,moderate rain
131,Muskegon,US,43.3,-86.1334,37.26,83,100,4.61,overcast clouds
132,Ajaccio,FR,42.0,8.9167,44.65,93,75,5.75,broken clouds
133,Okakarara,NA,-20.5833,17.4333,69.87,75,95,11.59,light rain
134,Ponta Do Sol,PT,32.6667,-17.1,61.43,69,54,10.74,broken clouds
135,Ahipara,NZ,-35.1667,173.1667,71.76,63,4,6.89,clear sky
136,Black Diamond,US,47.3087,-122.0032,42.94,84,100,1.99,overcast clouds
137,Bredasdorp,ZA,-34.5322,20.0403,70.09,79,42,5.57,scattered clouds
138,Barcelona,ES,41.3888,2.159,45.86,60,20,12.66,few clouds
139,Forestville,US,38.8451,-76.875,50.63,65,0,6.91,clear sky
140,Caruray,PH,10.3094,119.0128,77.76,89,71,7.4,broken clouds
141,Revda,RU,56.801,59.9303,12.76,70,100,7.4,overcast clouds
142,Magrath,CA,49.4167,-112.8686,41.14,56,30,14.97,scattered clouds
143,Aksehir,TR,38.3575,31.4164,40.87,86,0,6.22,clear sky
144,Aden,YE,12.7794,45.0367,75.36,72,86,8.39,overcast clouds
145,Dakoro,NE,14.5106,6.765,65.89,19,0,10.56,clear sky
146,Ocean City,US,39.2776,-74.5746,49.1,64,18,5.01,few clouds
147,Zhigalovo,RU,54.8097,105.1578,-42.9,100,84,1.28,broken clouds
148,Sobolevo,RU,54.4299,31.8996,39.61,98,100,20.11,overcast clouds
149,Mount Isa,AU,-20.7333,139.5,85.77,45,2,6.91,clear sky
150,Souillac,MU,-20.5167,57.5167,77.38,94,75,20.71,light rain
151,Halifax,CA,44.6453,-63.5724,40.44,93,40,9.22,scattered clouds
152,Yunyang,CN,33.4474,112.7142,34.74,49,86,2.33,overcast clouds
153,Urusha,RU,54.05,122.9,-22.43,98,100,1.92,overcast clouds
154,Georgetown,MY,5.4112,100.3354,78.73,80,20,5.75,few clouds
155,North Bend,US,43.4065,-124.2243,47.07,99,100,9.22,overcast clouds
156,San Patricio,US,28.017,-97.5169,82.49,31,47,10.2,scattered clouds
157,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,100,4.61,overcast clouds
158,Alugan,PH,12.2188,125.4808,78.73,86,100,11.48,overcast clouds
159,San Andres,CO,12.5847,-81.7006,82.42,74,20,6.91,few clouds
160,Severo-Kurilsk,RU,50.6789,156.125,16.02,60,100,27.38,light snow
161,Narsaq,GL,60.9167,-46.05,35.82,82,100,7.94,overcast clouds
162,Saint-Joseph,RE,-21.3667,55.6167,75.11,87,100,13.65,light rain
163,Rio Grande,BR,-32.035,-52.0986,75.31,75,35,15.59,scattered clouds
164,Sao Filipe,CV,14.8961,-24.4956,75.02,68,1,14.88,clear sky
165,Pangnirtung,CA,66.1451,-65.7125,-11.2,53,0,0.0,clear sky
166,Yamada,JP,39.4667,141.95,30.61,58,5,2.71,clear sky
