City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Paamiut,GL,2023-01-12 22:31:12,61.994,-49.6678,2.26,74,11,8.46
99,Gizo,SB,2023-01-12 22:31:13,-8.103,156.8419,83.61,74,100,12.03
100,Mayor Pablo Lagerenza,PY,2023-01-12 22:31:14,-19.9309,-60.7718,86.83,54,23,12.17
101,Kasempa,ZM,2023-01-12 22:31:15,-13.4584,25.8338,61.66,98,87,3.04
102,Igarka,RU,2023-01-12 22:31:16,67.4667,86.5833,-37.12,96,55,5.88
103,Akyab,MM,2023-01-12 22:31:16,20.15,92.9,61.47,58,0,6.22
104,Jieshi,CN,2023-01-12 22:31:17,22.8134,115.8257,67.39,94,92,10.27
105,Pinneberg,DE,2023-01-12 22:31:18,53.65,9.8,50.41,94,75,16.11
106,Omboue,GA,2023-01-12 22:31:18,-1.5746,9.2618,74.68,91,100,5.95
107,Biak,ID,2023-01-12 22:31:19,-0.9131,122.8766,77.54,75,100,2.55
108,Faya,SA,2023-01-12 22:31:20,18.3851,42.4509,53.71,80,6,5.66
109,Constitucion,CL,2023-01-12 22:31:21,-35.3333,-72.4167,63.36,63,22,16.24
110,Dikson,RU,2023-01-12 22:31:25,73.5069,80.5464,-21.8,91,100,12.3
111,Atuona,PF,2023-01-12 22:27:19,-9.8,-139.0333,78.31,71,7,12.3
112,Exmouth,GB,2023-01-12 22:31:26,50.6172,-3.4023,47.21,89,8,25.72
113,Marzuq,YE,2023-01-12 22:31:27,14.4,46.4667,60.58,84,31,4.29
114,Hervey Bay,AU,2023-01-12 22:31:28,-25.2986,152.8535,75.36,77,86,15.77
115,Sept-Iles,CA,2023-01-12 22:28:03,50.2001,-66.3821,10.4,79,75,6.91
116,Manaure,CO,2023-01-12 22:31:29,11.7751,-72.4445,81.07,70,76,18.05
117,Airai,TL,2023-01-12 22:31:29,-8.9266,125.4092,63.3,84,100,0.76
118,Paraguari,PY,2023-01-12 22:31:30,-25.6208,-57.1472,84.18,43,47,5.06
119,Paka,MY,2023-01-12 22:31:31,4.6374,103.4368,74.37,96,100,4.12
120,Nautla,MX,2023-01-12 22:31:31,20.2167,-96.7833,76.23,79,2,9.95
121,Port Lincoln,AU,2023-01-12 22:31:31,-34.7333,135.8667,72.93,56,98,9.6
122,Puerto Ayora,EC,2023-01-12 22:31:32,-0.7393,-90.3518,84.16,88,36,3.0
123,Katsuura,JP,2023-01-12 22:31:33,35.1333,140.3,51.89,70,1,4.21
124,Quatre Cocos,MU,2023-01-12 22:31:33,-20.2078,57.7625,75.09,79,88,12.35
125,Alice Springs,AU,2023-01-12 22:31:34,-23.7,133.8833,88.21,40,18,3.0
126,Khorol,UA,2023-01-12 22:31:34,49.7837,33.2783,20.97,89,41,6.89
127,Road Town,VG,2023-01-12 22:31:35,18.4167,-64.6167,78.89,83,40,12.66
128,Souillac,MU,2023-01-12 22:31:35,-20.5167,57.5167,73.78,94,40,0.0
129,Upernavik,GL,2023-01-12 22:31:36,72.7868,-56.1549,-3.14,61,100,5.82
130,Kapaa,US,2023-01-12 22:31:37,22.0752,-159.319,79.12,61,0,6.91
131,Yanam,IN,2023-01-12 22:31:37,16.7333,82.2167,62.17,93,41,1.92
132,Ancud,CL,2023-01-12 22:31:38,-41.8697,-73.8203,59.13,68,29,4.25
133,Obigarm,TJ,2023-01-12 22:31:38,38.7173,69.7088,-11.24,70,1,7.47
134,Shirokiy,RU,2023-01-12 22:31:39,49.758,129.523,0.41,95,80,10.85
135,Yulara,AU,2023-01-12 22:32:39,-25.2406,130.9889,89.51,29,5,13.91
136,Port Elizabeth,ZA,2023-01-12 22:30:00,-33.918,25.5701,73.09,79,75,21.85
137,Alta Floresta,BR,2023-01-12 22:32:40,-9.8756,-56.0861,74.41,90,81,2.68
138,Inongo,CD,2023-01-12 22:32:41,-1.95,18.2667,70.81,95,96,8.68
139,Skerries,IE,2023-01-12 22:32:41,53.5828,-6.1083,46.71,74,84,40.02
140,Kaa-Khem,RU,2023-01-12 22:32:42,51.6833,94.7333,-29.94,90,13,3.87
141,La Ronge,CA,2023-01-12 22:30:21,55.1001,-105.2842,12.45,85,0,4.61
142,Viedma,AR,2023-01-12 22:32:43,-40.8135,-62.9967,62.92,49,82,20.29
143,Aykhal,RU,2023-01-12 22:31:00,66.0,111.5,-40.41,100,100,4.59
144,Letlhakane,BW,2023-01-12 22:32:44,-21.4167,25.5833,71.04,30,1,11.32
145,Bathsheba,BB,2023-01-12 22:32:44,13.2167,-59.5167,77.61,88,40,9.22
146,Saskylakh,RU,2023-01-12 22:32:45,71.9167,114.0833,-34.58,99,100,1.81
147,Dongkan,CN,2023-01-12 22:32:45,33.9997,119.8308,53.02,95,99,4.5
148,Cascas,PE,2023-01-12 22:32:46,-7.4833,-78.8167,68.23,72,91,4.74
149,Areosa,PT,2023-01-12 22:32:46,41.7178,-8.8571,54.34,85,100,6.6
150,Vardo,NO,2023-01-12 22:32:47,70.3705,31.1107,35.58,87,100,19.57
151,Uddevalla,SE,2023-01-12 22:32:47,58.3478,11.9424,41.99,94,100,8.88
152,Chuy,UY,2023-01-12 22:32:48,-33.6971,-53.4616,70.36,77,45,10.87
153,Asau,RO,2023-01-12 22:32:48,46.4333,26.4,29.32,99,100,2.3
154,Staryy Nadym,RU,2023-01-12 22:32:49,65.6118,72.6842,-29.69,100,81,2.91
155,Cavalcante,BR,2023-01-12 22:32:49,-13.7975,-47.4583,70.3,89,100,1.07
156,Ilulissat,GL,2023-01-12 22:32:50,69.2167,-51.1,-3.98,45,22,0.0
157,Westport,US,2023-01-12 22:30:24,41.1415,-73.3579,53.46,89,100,14.97
158,Beringovskiy,RU,2023-01-12 22:32:51,63.05,179.3167,-5.53,95,100,10.58
159,Alta Gracia,AR,2023-01-12 22:32:51,-31.6529,-64.4283,64.53,89,100,4.09
160,Juneau,US,2023-01-12 22:28:55,58.3019,-134.4197,37.22,97,20,0.0
161,Ribeira Grande,PT,2023-01-12 22:32:52,38.5167,-28.7,61.77,96,100,10.0
162,Buala,SB,2023-01-12 22:32:52,-8.145,159.5921,84.74,69,76,8.3
163,Norman Wells,CA,2023-01-12 22:32:53,65.282,-126.8329,-2.16,84,75,0.0
164,Turinsk,RU,2023-01-12 22:32:53,58.0458,63.696,6.64,90,57,9.57
165,Zatoka,UA,2023-01-12 22:32:54,46.0725,30.4654,35.94,79,100,11.83
166,Byron Bay,AU,2023-01-12 22:32:54,-28.65,153.6167,74.95,61,33,7.38
167,Huilong,CN,2023-01-12 22:32:55,31.8111,121.655,59.94,100,100,4.97
168,Cayenne,GF,2023-01-12 22:32:55,4.9333,-52.3333,78.84,83,75,10.36
169,Niamey,NE,2023-01-12 22:32:56,13.5137,2.1098,70.09,19,85,4.61
170,Flinders,AU,2023-01-12 22:32:57,-34.5833,150.8552,77.38,70,66,7.0
171,Gat,IL,2023-01-12 22:32:57,31.61,34.7642,54.28,62,6,8.88
172,Aksarka,RU,2023-01-12 22:32:58,66.5606,67.7975,-18.71,98,92,4.14
173,Beloha,MG,2023-01-12 22:32:58,-25.1667,45.05,73.85,87,12,11.14
174,La Asuncion,VE,2023-01-12 22:32:59,11.0333,-63.8628,82.13,61,0,20.71
175,Puerto Escondido,MX,2023-01-12 22:32:18,15.85,-97.0667,86.83,58,0,0.0
176,Trelew,AR,2023-01-12 22:32:35,-43.249,-65.3051,66.96,39,44,22.46
177,Valdivia,CL,2023-01-12 22:31:13,-39.8142,-73.2459,71.69,48,6,1.19
